,preprocessing,dimred,n_components,n_neighbors,min_dist,perplexity,clustering,k,silhouette,stability_ari
249,raw,umap,5,15.0,0.5,,hierarchical,3,0.27685102820396423,0.6121807382323575
250,raw,umap,5,15.0,0.5,,hierarchical,4,0.33268168568611145,0.7299498893313638
251,raw,umap,5,15.0,0.5,,hierarchical,5,0.34472212195396423,0.8704710841762272
252,raw,umap,5,30.0,0.0,,kmeans,3,0.38715654611587524,0.9452080302817347
253,raw,umap,5,30.0,0.0,,kmeans,4,0.4288008213043213,0.9344423497849076
254,raw,umap,5,30.0,0.0,,kmeans,5,0.47629621624946594,0.9973306584160251
255,raw,umap,5,30.0,0.0,,gmm,3,0.3502945303916931,0.6183045417144509
256,raw,umap,5,30.0,0.0,,gmm,4,0.379965603351593,0.6088755415985355
257,raw,umap,5,30.0,0.0,,gmm,5,0.46392822265625,0.5956663171250995
258,raw,umap,5,30.0,0.0,,hierarchical,3,0.3797343969345093,0.9336667002607265
259,raw,umap,5,30.0,0.0,,hierarchical,4,0.4171474575996399,0.907602333943494
260,raw,umap,5,30.0,0.0,,hierarchical,5,0.4457486569881439,0.8333758859749903
261,raw,umap,5,30.0,0.1,,kmeans,3,0.37832507491111755,0.9744185265830655
262,raw,umap,5,30.0,0.1,,kmeans,4,0.44149717688560486,0.8381114237627796
263,raw,umap,5,30.0,0.1,,kmeans,5,0.47736454010009766,0.9910914742660268
264,raw,umap,5,30.0,0.1,,gmm,3,0.34318017959594727,0.6406268445422743
265,raw,umap,5,30.0,0.1,,gmm,4,0.3879773020744324,0.6101224340452162
266,raw,umap,5,30.0,0.1,,gmm,5,0.46427005529403687,0.663941599168711
267,raw,umap,5,30.0,0.1,,hierarchical,3,0.3776998519897461,0.9825115853271525
268,raw,umap,5,30.0,0.1,,hierarchical,4,0.4391333758831024,0.9804683615768262
269,raw,umap,5,30.0,0.1,,hierarchical,5,0.4742741286754608,0.9852225155642101
270,raw,umap,5,30.0,0.5,,kmeans,3,0.32513517141342163,0.89168303409949
271,raw,umap,5,30.0,0.5,,kmeans,4,0.3826059401035309,0.9918208889771262
272,raw,umap,5,30.0,0.5,,kmeans,5,0.43079543113708496,0.9421979528419544
273,raw,umap,5,30.0,0.5,,gmm,3,0.31472671031951904,0.5125852838103053
274,raw,umap,5,30.0,0.5,,gmm,4,0.3272092938423157,0.5441217677655731
275,raw,umap,5,30.0,0.5,,gmm,5,0.3971662223339081,0.7770022745988776
276,raw,umap,5,30.0,0.5,,hierarchical,3,0.3439992368221283,0.8544566863552907
277,raw,umap,5,30.0,0.5,,hierarchical,4,0.37619921565055847,0.8363963284333645
278,raw,umap,5,30.0,0.5,,hierarchical,5,0.41279247403144836,0.7751029579757437
279,raw,tsne,2,,,10.0,kmeans,3,0.3650204837322235,0.8361540200887894
280,raw,tsne,2,,,10.0,kmeans,4,0.3724120557308197,0.9838621370953945
281,raw,tsne,2,,,10.0,kmeans,5,0.34504732489585876,0.676155290431751
282,raw,tsne,2,,,10.0,gmm,3,0.36132457852363586,0.5173497122073556
283,raw,tsne,2,,,10.0,gmm,4,0.3717018663883209,0.920696595581048
284,raw,tsne,2,,,10.0,gmm,5,0.36318239569664,0.669669011895662
285,raw,tsne,2,,,10.0,hierarchical,3,0.34020310640335083,0.43746459728525866
286,raw,tsne,2,,,10.0,hierarchical,4,0.32344070076942444,0.5031601809634643
287,raw,tsne,2,,,10.0,hierarchical,5,0.3126557171344757,0.42079627237918443
288,raw,tsne,2,,,30.0,kmeans,3,0.385906845331192,0.966367375885578
289,raw,tsne,2,,,30.0,kmeans,4,0.385760635137558,0.9687189639092914
290,raw,tsne,2,,,30.0,kmeans,5,0.3790094256401062,0.9751237869048233
291,raw,tsne,2,,,30.0,gmm,3,0.36371204257011414,0.7034492227474513
292,raw,tsne,2,,,30.0,gmm,4,0.3842330574989319,0.8710097460047234
293,raw,tsne,2,,,30.0,gmm,5,0.31340232491493225,0.470712968872006
294,raw,tsne,2,,,30.0,hierarchical,3,0.32117030024528503,0.6733479032256463
295,raw,tsne,2,,,30.0,hierarchical,4,0.31537190079689026,0.6160587386818709
296,raw,tsne,2,,,30.0,hierarchical,5,0.3287060856819153,0.7808473195341731
297,raw,tsne,2,,,50.0,kmeans,3,0.39850345253944397,0.977771945532394
298,raw,tsne,2,,,50.0,kmeans,4,0.4094768464565277,0.9700954227440803
299,raw,tsne,2,,,50.0,kmeans,5,0.3998073935508728,0.8100350213883226
300,raw,tsne,2,,,50.0,gmm,3,0.3696693181991577,0.6655136833078505
301,raw,tsne,2,,,50.0,gmm,4,0.3787664473056793,0.7652723925211679
302,raw,tsne,2,,,50.0,gmm,5,0.2716113328933716,0.5983816148202604
303,raw,tsne,2,,,50.0,hierarchical,3,0.3974442780017853,1.0
304,raw,tsne,2,,,50.0,hierarchical,4,0.3882406949996948,1.0
305,raw,tsne,2,,,50.0,hierarchical,5,0.3568146526813507,1.0
306,raw,tsne,3,,,10.0,kmeans,3,0.24603714048862457,0.9252087821229058
307,raw,tsne,3,,,10.0,kmeans,4,0.26302021741867065,0.7788619983560622
308,raw,tsne,3,,,10.0,kmeans,5,0.27499818801879883,0.9785703189376054
309,raw,tsne,3,,,10.0,gmm,3,0.24315005540847778,0.5141602077762308
310,raw,tsne,3,,,10.0,gmm,4,0.26124343276023865,0.4864007607485989
311,raw,tsne,3,,,10.0,gmm,5,0.27104946970939636,0.573931415034875
312,raw,tsne,3,,,10.0,hierarchical,3,0.22321385145187378,0.33885434323158464
313,raw,tsne,3,,,10.0,hierarchical,4,0.22226648032665253,0.4682915359201121
314,raw,tsne,3,,,10.0,hierarchical,5,0.2131567746400833,0.4449012417040482
315,raw,tsne,3,,,30.0,kmeans,3,0.25909799337387085,0.7759609322048509
316,raw,tsne,3,,,30.0,kmeans,4,0.2861204147338867,0.9385355869664045
317,raw,tsne,3,,,30.0,kmeans,5,0.30430009961128235,0.8891975195505869
318,raw,tsne,3,,,30.0,gmm,3,0.25120794773101807,0.34307098337705993
319,raw,tsne,3,,,30.0,gmm,4,0.27031800150871277,0.3379535376170306
320,raw,tsne,3,,,30.0,gmm,5,0.27265992760658264,0.43394502282450276
321,raw,tsne,3,,,30.0,hierarchical,3,0.22359594702720642,0.5174961634835027
